ONT,1300 Smiles Ltd
SIR,Sirius Resources NL
SRX,Sirtex Medical Ltd
SKE,Skilled Group Limited
SKT,Sky Network Television Limited
SKC,SkyCity Entertainment Group
SGH,Slater & Gordon Limited
SMX,SMS Management & Technology Ltd
SHL,Sonic Healthcare Ltd
SXE,Southern Cross Electrical Engineering Ltd
SXL,Southern Cross Media Group Limited
SPN,SP AUSNET (stapled)
SKI,Spark Infrastructure Trust
SFH,Specialty Fashion Group Ltd
SPH,Sphere Minerals Ltd
SBM,St Barbara Limited
SPL,Starpharma Holdings Limited
SST,Steamships Trading Co Ltd
SGP,Stockland
SRQ,Straits Resources Ltd
STX,Strike Energy Limited
SGN,STW Communications Group Ltd
SMM,Summit Resources Limited
SUR,Sun Resources NL
SUN,Suncorp Group Ltd
SEA,Sundance Energy Australia Ltd
SDL,Sundance Resources Limited
SDG,Sunland Group Ltd
SUL,Super Retail Group Ltd
SYD,Sydney Airport
SYR,Syrah Resources Limited
TAH,Tabcorp Hldgs Ltd
TAM,Tanami Gold Nl
TAP,TAP OIL Limited
TGR,Tassal Group Limited
TTS,Tatts Group Limited
TNE,Technology One Ltd
TEL,Telecom Corporation of New Zealand Limited
TLS,Telstra Corp Ltd
TEN,Ten Network Hldgs
TGZ,Teranga Gold Corporation
TFC,TFS Corporation Limited
TRS,The Reject Shop Limited
TRU,The Trust Company Limited
TGA,Thorn Group Ltd
TGS,Tiger Resources Limited
TOL,Toll Hldgs Ltd
TOE,Toro Energy Limited
TOX,Tox Free Solutions Limited
TPM,TPG Telecom Ltd
TME,Trade Me Ltd
TSE,Transfield Services Ltd
TPI,Transpacific Industries Group
TCL,Transurban Group NPV
TRG,Treasury Group
TWE,Treasury Wine Estates
TRY,Troy Resources Limited
UGL,UGL Ltd
UNS,Unilife Corporation
UOS,United Overseas Australia Ltd
UML,Unity Mining Limited
UBI,Universal Biosensors Inc
URF,US Masters Residential Property Fund
UXC,UXC Ltd
VRL,Village Roadshow Ltd
VAH,Virgin Australia Holdings Ltd
VRT,Virtus Health Limited
VOC,Vocus Communications Ltd
WCB,Warrnambool Cheese & Butter
SOL,Washington H Soul Pattinson & Company Limited
WTP,Watpac Limited
WEB,Webjet Ltd
WLL,Wellcom Group Ltd
WES,Wesfarmers Ltd
WSA,Western Areas Ltd
WDR,Western Desert Resources Ltd
WDC,Westfield Group
WRT,Westfield Retail Trust
WBC,Westpac Banking Corp
WCL,WestSide Corporation
WEC,White Energy Co. Ltd
WHC,Whitehaven Coal Ltd
WBB,Wide Bay Australia Ltd
WPL,Woodside Petroleum Ltd
WOW,Woolworths Ltd
WOR,WorleyParsons Ltd
WTF,Wotif.com Holdings
YAL,Yancoal Australia Ltd
ZIM,Zimplats Holdings Limited
